
01-10-2024|08:30 AM|Coffee|Starbucks|-3.50
02-14-2024|12:00 PM|Valentine’s Gift|Hallmark|-45.00
03-01-2024|09:00 AM|Paycheck|Acme Corp|1500.00
04-22-2024|06:15 PM|Groceries|Trader Joe’s|-78.20
05-05-2024|08:00 AM|Dividend|Investments Inc|50.00
07-04-2024|07:00 PM|BBQ Supplies|Costco|-60.75
10-31-2024|09:45 PM|Halloween Candy|Target|-25.30
12-15-2024|03:30 PM|Holiday Bonus|Tech Solutions|800.00
02-01-2025|09:15 AM|Coffee|Starbucks| -4.75
02-03-2025|12:00 PM|Freelance Project|Client X| 600.00
02-04-2025|06:42 PM|Groceries|Whole Foods| -85.30
02-05-2025|08:00 AM|Dividend|Investments Inc| 45.50
03-01-2025|03:20 PM|Electric Bill|Utility Co| -120.00
03-07-2025|11:45 AM|Stock Sale|Brokerage Firm| 320.50
03-08-2025|07:30 PM|Dinner|Olive Garden| -58.25
04-09-2025|08:15 AM|Salary Bonus|Tech Solutions| 750.00
04-30-2025|02:27 PM|Cash|josh| 3843.00
04-30-2025|02:36 PM|cash|ken| 342.00
04-30-2025|02:36 PM|Paycheck|Chipotle| 1000.00 
05-01-2025|12:36 PM|tv|Walmart| -606.40
05-01-2025|01:42 PM|cash|Josh| 5453.34 
05-01-2025|05:45 PM|Milk|Walmart| -2.32
